ID,issue,reason
1,numpy/numpy#10039,R1
2,numpy/numpy#14822,R1
3,numpy/numpy#14822,R1
4,pandas-dev/pandas#6250,R2
5,pandas-dev/pandas#43473,R2
6,numpy/numpy#4129,R1
7,numpy/numpy#5352,R1
8,tensorflow/tensorflow#22080,R1
9,tensorflow/tensorflow#3743,R1
10,Microsoft/CNTK#2009,R2
11,Microsoft/CNTK#1994,R2
12,Theano/Theano#5546,R1
13,pytorch/pytorch#73775,R1
14,pytorch/pytorch#5791,R1
15,pytorch/pytorch#39853,R1
16,pytorch/pytorch#1999,R1
17,pytorch/pytorch#1010,R3
18,nltk/nltk#2484,R1
19,keras-team/keras#9630,R2
20,keras-team/keras#8667,R1
21,keras-team/keras#6815,R1
22,keras-team/keras#7055,R1
23,keras-team/keras#4148,R1
24,Theano/Theano#5930,R5
25,keras-team/keras#6175,R5
26,keras-team/keras#828,R1
27,keras-team/keras#2194,R1
28,keras-team/keras#2110,R1
29,keras-team/keras#152,R1
30,keras-team/keras#12850,C1
31,torch/torch7#1044,C1
32,apache/mxnet#5592,R1
33,apache/mxnet#16619,R1
34,apache/mxnet#12672,R1
35,apache/mxnet#12532,R1
36,apache/mxnet#1045,R1
37,apache/mxnet#9772,R1
38,deeplearning4j/deeplearning4j#586,R1
39,deeplearning4j/deeplearning4j#3190,R1
40,Microsoft/CNTK#1675,R1
41,scipy/scipy#2365,R1
42,numpy/numpy#5085,R1
43,scipy/scipy#7181,R1
44,scipy/scipy#4285,R1
45,Theano/Theano#5382,R2
46,tflearn/tflearn#1037,R2
47,scikit-learn/scikit-learn#23423,R1
48,scikit-learn/scikit-learn#16717,R1
49,nltk/nltk#1030,C3
50,nltk/nltk#1799,C3
51,pandas-dev/pandas#9670,R1
52,pandas-dev/pandas#8402,R1
53,pandas-dev/pandas#705,R1
54,pandas-dev/pandas#40350,R1
55,pandas-dev/pandas#25652,R1
56,matplotlib/matplotlib#10910,R1
57,matplotlib/matplotlib#10189,R1
58,matplotlib/matplotlib#3424,R3
59,tensorflow/tensorflow#8505,R3
60,numpy/numpy#16547,R1
61,numpy/numpy#19694,R1
62,numpy/numpy#21673,R1
63,matplotlib/matplotlib#10031,R1
64,pandas-dev/pandas#3298,R2
65,matplotlib/matplotlib#9585,R2
66,astropy/astropy#7818,R1
67,ipython/ipython#3427,R1
68,numpy/numpy#11772,R1
69,pandas-dev/pandas#9481,C3
70,tflearn/tflearn#402,C3
71,Theano/Theano#4044,R1
72,pytorch/pytorch#2794,R1
73,pytorch/pytorch#28126,R1
74,astropy/astropy#6969,R1
75,astropy/astropy#7365,R1
76,astropy/astropy#4095,R1
77,astropy/astropy#7340,R1
78,apache/mxnet#7341,R3
79,astropy/astropy#717,R3
80,astropy/astropy#8678,R1
81,matplotlib/matplotlib#7686,R1
82,matplotlib/matplotlib#8086,R1
83,matplotlib/matplotlib#9867,R1
84,stropy/astropy#5411,R2
85,astropy/astropy#4224,R2
86,astropy/astropy#7673,R2
87,matplotlib/matplotlib#6666,R2
88,numpy/numpy#16706,R2
89,pytorch/pytorch#9942,R4
90,pytorch/pytorch#6992,R4
91,pytorch/pytorch#21304,R2
92,torch/torch7#354,R2
93,deeplearning4j/deeplearning4j#5257,R5
94,deeplearning4j/deeplearning4j#4672,R5
95,astropy/astropy#7167,R2
96,astropy/astropy#8507,R2
97,astropy/astropy#8678,R2
98,ipython/ipython#10040,R2
99,ipython/ipython#10419,R2
100,ipython/ipython#11546,R2
101,ipython/ipython#12953,R2
102,ipython/ipython#4028,R2
103,ipython/ipython#6137,R2
104,ipython/ipython#9077,R2
105,numpy/numpy#7074,R1
106,numpy/numpy#9786,R1
107,keras-team/keras#10008,R2
108,pytorch/pytorch#46260,R6
109,keras-team/keras#4256,R6
110,tensorflow/tensorflow#8505,R2
111,Theano/Theano#1057,R2
112,Theano/Theano#5154,R2
113,scikit-learn/scikit-learn#9896,R1
114,scikit-learn/scikit-learn#4014,R1
115,tflearn/tflearn#930,R2
116,pytorch/pytorch#973,R2
117,pytorch/pytorch#9261,R2
118,matplotlib/matplotlib#7950,R6
119,matplotlib/matplotlib#5428,R6
120,pytorch/pytorch#6471,R2
121,pytorch/pytorch#4932,R2
122,pytorch/pytorch#4568,R2
123,pytorch/pytorch#23534,R1
124,pytorch/pytorch#1070,R2
125,apache/mxnet#2923,R3
126,deeplearning4j/deeplearning4j#7572,R3
127,pytorch/pytorch#10849,R2
128,nltk/nltk#1463,R2
129,keras-team/keras#14170,R2
130,keras-team/keras#3334,R2
131,matplotlib/matplotlib#5830,C3
132,tensorflow/tensorflow#31647,C3
133,keras-team/keras#10638,R2
134,apache/mxnet#7523,R2
135,apache/mxnet#411,R2
136,apache/mxnet#8513,R2
137,apache/mxnet#5849,R2
138,deeplearning4j/deeplearning4j#8890,R2
139,deeplearning4j/deeplearning4j#7888,R2
140,keras-team/keras#428,R3
141,keras-team/keras#2931,R3
142,scipy/scipy#1727,R2
143,scipy/scipy#3863,R2
144,scipy/scipy#3306,R2
145,scikit-learn/scikit-learn#6205,R2
146,pandas-dev/pandas#8382,R2
147,numpy/numpy#14822,R1
148,numpy/numpy#17885,R1
149,pytorch/pytorch#13039,R1
150,astropy/astropy#7818,R1
151,matplotlib/matplotlib#6301,R2
152,matplotlib/matplotlib#4839,R2
153,matplotlib/matplotlib#1421,R2
154,numpy/numpy#7809,R2
155,numpy/numpy#9227,R2
156,ipython/ipython#4353,R3
157,keras-team/keras#1549,R3
158,torch/torch7#641,R3
159,nltk/nltk#1166,R3
160,keras-team/keras#2978,R3
161,apache/mxnet#404,R3
162,pandas-dev/pandas#6980,R3
163,ipython/ipython#8873,R3
164,ipython/ipython#8873,R3
165,matplotlib/matplotlib#19432,R3
166,numpy/numpy#19013,R3
167,numpy/numpy#19013,R3
168,tensorflow/tensorflow#43644,R3
169,tflearn/tflearn#832,R3
170,nltk/nltk#994,R3
171,keras-team/keras#12905,R3
172,keras-team/keras#3305,R3
173,keras-team/keras#5209,R3
174,Theano/Theano#1018,R1
175,Theano/Theano#4337,R1
176,apache/mxnet#13459,R3
177,astropy/astropy#8024,R1
178,astropy/astropy#8507,R1
179,astropy/astropy#8678,R3
180,numpy/numpy#19013,R3
181,pytorch/pytorch#28288,R3
182,Theano/Theano#6448,R2
183,Theano/Theano#930,R3
184,tflearn/tflearn#8,R3
185,keras-team/keras#3250,R3
186,keras-team/keras#2370,R2
187,apache/mxnet#3160,C1
188,apache/mxnet#10203,C2
189,scikit-learn/scikit-learn#14874,R3
190,astropy/astropy#9368,R3
191,matplotlib/matplotlib#17120,R3
192,matplotlib/matplotlib#17120,R3
193,matplotlib/matplotlib#20869,R3
194,ipython/ipython#9974,R2
195,numpy/numpy#13412,R2
196,torch/torch7#229,R3
197,scipy/scipy#5093,R5
198,scipy/scipy#3882,R5
199,pytorch/pytorch#5062,R3
200,pytorch/pytorch#16509,R3
201,pytorch/pytorch#1516,R3
202,keras-team/keras#5225,R3
203,keras-team/keras#100,R3
204,apache/mxnet#656,R3
205,apache/mxnet#4844,R3
206,apache/mxnet#3396,R3
207,pytorch/pytorch#10586,R2
208,pytorch/pytorch#10223,R2
209,deeplearning4j/deeplearning4j#6922,R3
210,microsoft/CNTK#582,R3
211,tensorflow/tensorflow#11484,R4
212,tensorflow/tensorflow#15118,R4
213,ipython/ipython#8171,R4
214,ipython/ipython#9478,R4
215,scikit-learn/scikit-learn#2918,R3
216,scikit-learn/scikit-learn#20045,R3
217,pandas-dev/pandas#9824,R3
218,pandas-dev/pandas#8617,R3
219,pandas-dev/pandas#24787,R3
220,pandas-dev/pandas#3185,R3
221,matplotlib/matplotlib#2062,R3
222,matplotlib/matplotlib#5851,R5
223,matplotlib/matplotlib#4552,R5
224,torch/torch7#877,R3
225,pytorch/pytorch#6947,R3
226,keras-team/keras#3540,R3
227,keras-team/keras#4018,R4
228,astropy/astropy#5425,R4
229,astropy/astropy#6939,R4
230,pandas-dev/pandas#5913,R5
231,pandas-dev/pandas#35426,R5
232,pandas-dev/pandas#8317,C1
233,deeplearning4j/deeplearning4j#7170,C1
234,ipython/ipython#10040,R4
235,ipython/ipython#11546,R4
236,ipython/ipython#2696,R4
237,scipy/scipy#4197,R3
238,scipy/scipy#699,R3
239,scipy/scipy#1954,R3
240,ipython/ipython#9787,R4
241,matplotlib/matplotlib#9217,R4
242,numpy/numpy#8603,R4
243,numpy/numpy#8603,R4
244,scipy/scipy#4410,C2
245,scipy/scipy#3802,C2
246,pytorch/pytorch#28288,R4
247,scipy/scipy#3330,R3
248,ipython/ipython#7623,R4
249,tensorflow/tensorflow#8505,R4
250,torch/torch7#1035,R5
251,Theano/Theano#1801,R4
252,Theano/Theano#5192,R4
253,tflearn/tflearn#112,R3
254,tflearn/tflearn#34,R4
255,numpy/numpy#20507,R2
256,numpy/numpy#20507,R2
257,pytorch#69235,R4
258,pytorch/pytorch#5831,R4
259,pytorch/pytorch#11419,R4
260,pytorch/pytorch#76401,R5
261,tensorflow/tensorflow#17687,R5
262,keras-team/keras#15014,R4
263,apache/mxnet#907,R4
264,apache/mxnet#18014,R4
265,matplotlib/matplotlib#4301,R5
266,matplotlib/matplotlib#6066,R5
267,deeplearning4j/deeplearning4j#6166,R4
268,Microsoft/CNTK#1505,R4
269,apache/mxnet#11341,C2
270,apache/mxnet#4242,C2
271,pandas-dev/pandas#3778,R4
272,pytorch/pytorch#6938,R4
273,matplotlib/matplotlib#18034,R4
274,ipython/ipython#9580,R5
275,ipython/ipython#5117,R5
276,matplotlib/matplotlib#13725,R5
277,matplotlib/matplotlib#3800,R5
278,apache/mxnet#5390,R4
279,apache/mxnet#5056,R4
280,matplotlib/matplotlib#7686,R5
281,keras-team/keras#11148,R5
282,pytorch/pytorch#66800,R5
283,keras-team/keras#9992,R4
284,keras-team/keras#4305,R4
285,torch/torch7#764,R5
286,torch/torch7#65,R5
287,keras-team/keras#3681,R1
288,keras-team/keras#2489,R1
289,pytorch/pytorch#7251,R5
290,pytorch/pytorch#4330,R5
291,pytorch/pytorch#20404,R5
292,pytorch/pytorch#19166,R5
293,pytorch/pytorch#1660,R5
294,keras-team/keras#7159,R5
295,keras-team/keras#6351,R5
296,keras-team/keras#14265,R5
297,apache/mxnet#3570,R4
298,apache/mxnet#2666,R2
299,astropy/astropy#5425,R2
300,astropy/astropy#7167,R2
301,deeplearning4j/deeplearning4j#3607,R5
302,Theano/Theano#1563,R6
303,Theano/Theano#4902,R6
304,scipy/scipy#7270,R5
305,pytorch/pytorch#922,R3
306,pytorch/pytorch#641,R3
307,pandas-dev/pandas#9421,R5
308,pandas-dev/pandas#9253,R5
209,astropy/astropy#7167,R4
210,astropy/astropy#7167,R4
311,pandas-dev/pandas#12464,R5
312,matplotlib/matplotlib#665,R5
313,numpy/numpy#14155,R3
314,python/ipython#2832,R3
315,deeplearning4j/deeplearning4j#773,R6
316,deeplearning4j/deeplearning4j#7657,R6
317,numpy/numpy#21337,R5
318,pandas-dev/pandas#28341,R5
319,astropy/astropy#3893,R6
320,pytorch/pytorch#39620,R6
321,scipy/scipy#4950,R5
322,scipy/scipy#6213,R5
323,pytorch/pytorch#35456,R2
324,pytorch/pytorch#51959,R2
325,apache/mxnet#13658,R6
326,keras-team/keras#383,R6
327,pytorch/pytorch#2029,R6
328,apache/mxnet#4870,R6
329,matplotlib/matplotlib#4156,R5
3330,matplotlib/matplotlib#1867,R5
331,deeplearning4j/deeplearning4j#578,R6
332,deeplearning4j/deeplearning4j#4530,R6
333,deeplearning4j/deeplearning4j#3375,R6
334,deeplearning4j/deeplearning4j#676,R6
335,astropy/astropy#7167,C4
336,astropy/astropy#7973,C4
337,pandas-dev/pandas#16264,R6
338,pytorch/pytorch#8268,R2
339,pytorch/pytorch#79527,R2
340,matplotlib/matplotlib#19072,R6
341,apache/mxnet#529,R6
